1,35,46,28,36,26,48,30,6,29,34,13,18,33,24,7,47,22,41,19,3,56,49,2,58,12,42,27,11,51,43,40,50,4,61,54,38,45,10,23,52,25,8,17,63,21,15,60,53,31,39,5,55,16,32,9,20,59,14,62,57,0,37,44
22,34,55,12,32,39,35,7,19,3,44,58,57,37,21,29,14,20,59,18,5,28,38,6,50,41,36,46,61,33,53,17,25,30,62,9,10,13,24,51,52,45,31,4,48,54,56,1,26,49,2,43,60,8,23,0,42,11,27,40,15,63,47,16
33,52,6,40,60,9,4,19,5,22,43,28,39,42,31,47,59,25,34,11,50,21,30,0,46,37,56,8,48,35,3,16,49,45,17,62,57,29,44,61,12,55,23,41,24,18,38,10,53,1,27,51,58,13,20,14,7,36,15,2,54,32,63,26
1,15,59,6,24,4,12,10,27,2,9,38,29,50,25,5,17,33,19,3,49,58,34,23,35,57,51,43,36,42,18,37,56,48,0,20,31,28,39,45,62,14,61,55,53,60,54,7,40,44,21,32,63,52,8,16,26,11,30,47,41,13,22,46
17,35,19,2,7,62,47,36,41,54,53,59,40,0,25,61,29,30,34,14,33,32,23,4,21,13,58,60,42,46,26,6,18,15,12,31,9,3,27,39,63,57,10,20,37,49,52,44,45,5,50,8,16,24,28,11,56,38,48,1,55,51,43,22
6,40,57,1,38,44,17,31,33,34,35,3,11,39,10,37,16,36,62,49,56,41,14,50,47,9,12,52,45,43,61,21,18,53,42,55,25,2,22,48,23,60,24,8,20,29,30,5,51,4,7,15,63,28,32,59,27,58,19,0,54,46,13,26
17,23,26,15,20,50,4,42,8,56,13,43,35,2,54,41,62,28,61,14,29,27,22,36,63,12,55,47,44,57,6,38,46,0,5,24,52,16,19,18,30,58,10,45,21,3,1,37,40,60,7,11,53,34,59,39,25,31,9,32,33,48,49,51
57,37,7,16,52,22,27,54,10,45,24,21,62,6,19,34,15,32,31,39,56,50,2,8,28,20,18,0,11,49,9,38,44,1,51,63,30,26,33,60,4,40,14,25,59,46,53,3,13,35,55,61,48,17,5,12,42,43,58,41,47,29,23,36
3,54,62,2,28,22,25,29,10,27,57,5,8,52,21,1,50,41,33,9,56,26,60,32,0,15,58,30,6,34,47,38,40,19,14,48,49,63,11,16,24,4,51,35,43,7,20,55,18,36,17,23,37,44,61,12,53,59,39,31,42,13,45,46
7,63,27,52,49,0,35,17,54,33,22,36,62,23,11,24,42,3,53,48,47,37,2,31,39,9,51,15,60,10,55,5,21,46,50,18,38,4,8,20,34,16,6,57,43,25,32,13,44,26,29,59,30,12,61,41,28,19,56,14,1,45,40,58
17,57,0,27,11,60,53,20,12,35,6,47,22,23,45,13,58,33,14,39,56,24,40,19,62,32,18,61,26,4,54,38,36,21,2,31,1,42,30,52,16,9,46,10,25,49,34,51,37,15,8,63,43,59,5,48,55,41,28,44,50,29,3,7
52,14,20,59,39,19,60,13,61,48,9,1,40,38,42,27,63,49,35,37,15,24,2,22,36,45,58,51,7,62,21,3,12,53,16,5,41,47,32,43,56,4,8,33,17,10,23,28,0,6,54,25,34,11,29,18,31,46,50,30,57,26,55,44
3,36,33,8,27,13,34,29,16,58,51,5,40,2,44,56,21,49,22,31,52,26,48,20,59,54,47,43,10,9,46,53,12,37,4,61,0,32,60,63,11,28,1,24,50,25,38,45,42,19,30,6,55,57,41,17,39,15,18,23,7,35,62,14
38,7,28,14,31,27,4,21,62,26,25,17,48,2,1,19,55,47,44,16,32,43,45,36,3,33,50,52,35,63,49,58,37,10,34,22,12,15,5,23,18,8,54,53,57,6,13,11,51,0,41,9,56,20,24,39,60,30,42,29,59,40,46,61
29,0,10,34,42,43,53,45,58,8,11,38,32,50,36,46,18,12,14,19,41,52,1,4,16,6,5,28,39,20,3,17,37,23,60,35,47,55,33,22,27,30,56,48,61,2,7,57,26,25,24,44,59,51,40,62,9,13,15,31,63,54,21,49
