1,48,41,42,15,54,5,9,19,38,58,28,10,51,7,37,20,34,11,56,55,36,6,40,53,24,0,4,17,13,43,31,27,61,57,29,59,32,46,45,47,3,33,49,26,8,18,44,2,30,23,39,25,22,50,60,21,62,35,52,16,12,14,63
20,55,45,52,5,16,54,23,63,42,37,6,12,38,24,11,1,4,14,53,18,27,8,9,41,2,28,59,10,39,35,46,40,0,56,47,48,30,32,49,29,36,19,31,61,62,44,13,50,21,22,15,34,25,7,57,43,17,51,33,26,3,58,60
8,26,23,46,29,24,20,14,40,61,59,48,58,32,16,0,30,34,12,45,39,54,31,11,1,60,21,57,52,4,53,18,28,19,9,43,62,15,37,17,42,3,55,27,7,5,22,49,51,10,38,36,35,56,63,47,6,25,33,50,41,13,2,44
4,0,59,30,35,49,14,31,8,62,52,44,29,32,38,3,2,19,27,6,5,17,15,9,48,53,41,57,25,51,13,7,33,55,45,47,61,39,22,26,46,40,28,37,18,43,16,24,34,54,42,12,21,10,23,63,11,36,20,50,56,58,1,60
62,39,12,37,6,44,17,3,46,52,2,26,38,29,31,43,47,56,24,49,35,14,41,50,11,20,33,19,63,25,22,23,10,58,18,61,45,0,55,13,7,27,9,51,36,60,40,5,16,42,32,4,54,8,15,48,30,28,53,21,34,1,59,57
42,55,40,34,62,39,28,15,63,22,0,3,46,16,6,1,49,11,8,56,59,19,60,36,48,4,7,54,47,17,2,43,26,58,27,21,61,10,53,38,44,33,20,23,45,25,51,14,12,31,32,37,13,30,24,29,52,5,50,18,9,41,35,57
49,57,16,52,4,12,31,56,3,5,61,22,7,41,58,25,50,23,62,63,9,1,35,6,14,24,2,28,60,17,26,18,42,34,29,0,46,55,27,44,39,19,48,10,33,20,59,21,8,32,30,43,47,15,51,45,36,37,53,54,11,38,40,13
20,44,30,8,6,56,60,63,26,35,34,9,59,37,38,17,23,57,4,16,15,58,7,39,29,21,36,54,40,61,18,52,13,11,32,19,28,49,14,53,62,3,1,5,47,43,0,25,55,45,50,27,24,42,2,22,41,31,33,10,48,51,46,12
29,56,2,63,39,17,34,32,46,16,62,33,38,49,45,28,26,48,23,58,14,43,20,44,50,53,6,30,36,0,4,55,31,19,37,52,51,1,42,27,57,7,24,61,22,9,25,60,11,41,10,13,3,8,5,54,35,21,59,18,47,12,40,15
12,27,13,56,19,39,54,5,25,63,41,51,21,14,43,60,28,4,57,44,50,42,3,59,49,34,45,7,15,22,0,2,1,6,46,62,31,10,61,33,32,48,17,38,16,8,30,11,37,24,29,36,35,52,47,20,58,55,9,26,40,53,23,18
45,57,33,14,27,39,32,51,46,54,56,58,11,36,35,22,60,10,8,25,19,41,5,49,44,17,15,7,59,31,9,24,53,37,6,48,29,12,28,30,43,55,38,23,61,52,34,3,1,18,0,13,16,42,40,50,21,63,2,47,4,26,62,20
9,58,20,29,33,19,28,34,46,32,10,41,55,2,5,57,63,12,6,24,50,45,7,43,8,17,15,42,44,36,38,16,1,27,4,0,23,54,35,31,37,18,61,51,22,40,60,39,62,3,53,47,14,26,52,49,56,13,25,21,48,59,11,30
31,57,43,7,22,40,60,12,45,58,32,53,20,30,50,63,52,61,47,11,41,8,36,2,5,21,16,9,54,33,48,10,38,19,14,59,49,56,15,46,18,6,23,37,28,17,24,0,4,3,62,51,34,39,1,13,42,27,55,35,29,25,26,44
24,22,10,35,60,17,61,31,34,13,19,39,41,47,38,62,42,21,28,15,0,14,49,11,40,25,23,52,46,51,37,45,57,12,29,59,8,16,30,55,56,26,58,44,50,36,53,48,27,20,1,33,4,9,32,63,2,54,6,5,43,7,3,18
6,50,10,37,0,59,24,52,33,45,16,18,49,7,14,2,31,3,46,15,43,56,23,57,40,26,25,34,41,54,28,21,4,32,63,58,20,8,55,19,9,5,51,53,27,13,42,48,35,60,61,22,1,30,39,38,17,12,47,29,11,36,62,44
